Date,Rate,"ISO Code From","ISO Code To"
"5/31/2024 Friday",390.03986,EUR,HUF
"6/3/2024 Monday",390.90922,EUR,HUF
"6/4/2024 Tuesday",393.19885,EUR,HUF
"6/5/2024 Wednesday",390.57276,EUR,HUF
"6/6/2024 Thursday",389.92882,EUR,HUF
"6/7/2024 Friday",391.54869,EUR,HUF
"6/10/2024 Monday",393.16747,EUR,HUF
"6/11/2024 Tuesday",394.89966,EUR,HUF
"6/12/2024 Wednesday",394.85835,EUR,HUF
"6/13/2024 Thursday",397.04666,EUR,HUF
"6/14/2024 Friday",398.95597,EUR,HUF
"6/17/2024 Monday",395.74333,EUR,HUF
"6/18/2024 Tuesday",394.40574,EUR,HUF
"6/19/2024 Wednesday",395.72470,EUR,HUF
"6/20/2024 Thursday",396.75017,EUR,HUF
"6/21/2024 Friday",396.38451,EUR,HUF
"6/24/2024 Monday",394.91858,EUR,HUF
"6/25/2024 Tuesday",395.91840,EUR,HUF
"6/26/2024 Wednesday",396.62833,EUR,HUF
"6/27/2024 Thursday",396.41792,EUR,HUF
"6/28/2024 Friday",395.33837,EUR,HUF
"7/1/2024 Monday",394.72738,EUR,HUF
"7/2/2024 Tuesday",394.83136,EUR,HUF
"7/3/2024 Wednesday",394.89807,EUR,HUF
"7/4/2024 Thursday",392.97449,EUR,HUF
"7/5/2024 Friday",392.87949,EUR,HUF
"7/8/2024 Monday",394.58236,EUR,HUF
"7/9/2024 Tuesday",394.11991,EUR,HUF
"7/10/2024 Wednesday",393.53841,EUR,HUF
"7/11/2024 Thursday",393.71106,EUR,HUF
"7/12/2024 Friday",392.30796,EUR,HUF
"7/15/2024 Monday",391.29865,EUR,HUF
"7/16/2024 Tuesday",392.22804,EUR,HUF
"7/17/2024 Wednesday",390.90731,EUR,HUF
"7/18/2024 Thursday",390.73119,EUR,HUF
"7/19/2024 Friday",390.47394,EUR,HUF
"7/22/2024 Monday",389.56327,EUR,HUF
"7/23/2024 Tuesday",390.31090,EUR,HUF
"7/24/2024 Wednesday",393.24188,EUR,HUF
"7/25/2024 Thursday",392.51480,EUR,HUF
"7/26/2024 Friday",391.66586,EUR,HUF
"7/29/2024 Monday",393.06474,EUR,HUF
"7/30/2024 Tuesday",395.16724,EUR,HUF
"7/31/2024 Wednesday",394.03056,EUR,HUF
"8/1/2024 Thursday",396.28280,EUR,HUF
"8/2/2024 Friday",398.06314,EUR,HUF
"8/5/2024 Monday",396.92716,EUR,HUF
"8/6/2024 Tuesday",397.96055,EUR,HUF
"8/7/2024 Wednesday",397.98660,EUR,HUF
"8/8/2024 Thursday",396.52073,EUR,HUF
"8/9/2024 Friday",394.40249,EUR,HUF
"8/12/2024 Monday",394.01547,EUR,HUF
"8/13/2024 Tuesday",393.44981,EUR,HUF
"8/14/2024 Wednesday",394.88072,EUR,HUF
"8/15/2024 Thursday",395.66365,EUR,HUF
"8/16/2024 Friday",394.35726,EUR,HUF
"8/19/2024 Monday",394.30267,EUR,HUF
"8/20/2024 Tuesday",393.53028,EUR,HUF
"8/21/2024 Wednesday",392.58765,EUR,HUF
"8/22/2024 Thursday",393.50006,EUR,HUF
"8/23/2024 Friday",393.88338,EUR,HUF
"8/26/2024 Monday",394.70743,EUR,HUF
"8/27/2024 Tuesday",392.86625,EUR,HUF
"8/28/2024 Wednesday",393.52642,EUR,HUF
"8/29/2024 Thursday",392.75063,EUR,HUF
"8/30/2024 Friday",392.75543,EUR,HUF
"9/2/2024 Monday",392.68158,EUR,HUF
"9/3/2024 Tuesday",393.78011,EUR,HUF
"9/4/2024 Wednesday",393.15612,EUR,HUF
"9/5/2024 Thursday",393.25775,EUR,HUF
"9/6/2024 Friday",393.86714,EUR,HUF
"9/9/2024 Monday",396.88106,EUR,HUF
"9/10/2024 Tuesday",396.95820,EUR,HUF
"9/11/2024 Wednesday",396.34852,EUR,HUF
"9/12/2024 Thursday",395.42655,EUR,HUF
"9/13/2024 Friday",395.22502,EUR,HUF
"9/16/2024 Monday",394.49176,EUR,HUF
"9/17/2024 Tuesday",394.52847,EUR,HUF
"9/18/2024 Wednesday",394.44378,EUR,HUF
"9/19/2024 Thursday",394.30039,EUR,HUF
"9/20/2024 Friday",393.57875,EUR,HUF
"9/23/2024 Monday",394.80916,EUR,HUF
"9/24/2024 Tuesday",394.64445,EUR,HUF
"9/25/2024 Wednesday",395.24847,EUR,HUF
"9/26/2024 Thursday",396.03000,EUR,HUF
"9/27/2024 Friday",396.98025,EUR,HUF
"9/30/2024 Monday",397.06921,EUR,HUF
"10/1/2024 Tuesday",397.94299,EUR,HUF
"10/2/2024 Wednesday",400.21036,EUR,HUF
"10/3/2024 Thursday",401.81778,EUR,HUF
"10/4/2024 Friday",401.75214,EUR,HUF
"10/7/2024 Monday",401.85334,EUR,HUF
"10/8/2024 Tuesday",399.45047,EUR,HUF
"10/9/2024 Wednesday",399.04479,EUR,HUF
"10/10/2024 Thursday",401.36549,EUR,HUF
"10/11/2024 Friday",401.49167,EUR,HUF
"10/14/2024 Monday",400.84668,EUR,HUF
"10/15/2024 Tuesday",400.23811,EUR,HUF
"10/16/2024 Wednesday",401.11052,EUR,HUF
"10/17/2024 Thursday",400.37450,EUR,HUF
"10/18/2024 Friday",400.29356,EUR,HUF
"10/21/2024 Monday",401.50329,EUR,HUF
"10/22/2024 Tuesday",400.15846,EUR,HUF
"10/23/2024 Wednesday",402.98523,EUR,HUF
"10/24/2024 Thursday",402.96364,EUR,HUF
