,DATE,TIME PERIOD,AT,BE,CY,DE,EE,ES,FI,FR,GR,HR,I9,IE,IT,LT,LU,LV,MT,NL,PT,SI,SK
0,1950-03-31,1950Q1,,,,,,,,6.7,,,,,,,,,,,,,
1,1950-06-30,1950Q2,,,,,,,,8.4,,,,,,,,,,,,,
2,1950-09-30,1950Q3,,,,,,,,9.4,,,,,,,,,,,,,
3,1950-12-31,1950Q4,,,,,,,,10.5,,,,,,,,,,,,,
4,1951-03-31,1951Q1,,,,,,,,7.6,,,,,,,,,,,,,
5,1951-06-30,1951Q2,,,,,,,,5.7,,,,,,,,,,,,,
6,1951-09-30,1951Q3,,,,,,,,4.7,,,,,,,,,,,,,
7,1951-12-31,1951Q4,,,,,,,,3.2,,,,,,,,,,,,,
8,1952-03-31,1952Q1,,,,,,,,5.0,,,,,,,,,,,,,
9,1952-06-30,1952Q2,,,,,,,,3.7,,,,,,,,,,,,,
10,1952-09-30,1952Q3,,,,,,,,3.2,,,,,,,,,,,,,
11,1952-12-31,1952Q4,,,,,,,,2.0,,,,,,,,,,,,,
12,1953-03-31,1953Q1,,,,,,,,1.3,,,,,,,,,,,,,
13,1953-06-30,1953Q2,,,,,,,,3.5,,,,,,,,,,,,,
14,1953-09-30,1953Q3,,,,,,,,3.0,,,,,,,,,,,,,
15,1953-12-31,1953Q4,,,,,,,,4.9,,,,,,,,,,,,,
16,1954-03-31,1954Q1,,,,,,,,5.3,,,,,,,,,,,,,
17,1954-06-30,1954Q2,,,,,,,,5.5,,,,,,,,,,,,,
18,1954-09-30,1954Q3,,,,,,,,6.6,,,,,,,,,,,,,
19,1954-12-31,1954Q4,,,,,,,,5.8,,,,,,,,,,,,,
20,1955-03-31,1955Q1,,,,,,,,5.6,,,,,,,,,,,,,
21,1955-06-30,1955Q2,,,,,,,,5.2,,,,,,,,,,,,,
22,1955-09-30,1955Q3,,,,,,,,5.1,,,,,,,,,,,,,
23,1955-12-31,1955Q4,,,,,,,,5.5,,,,,,,,,,,,,
24,1956-03-31,1956Q1,,,,,,,,4.9,,,,,,,,,,,,,
25,1956-06-30,1956Q2,,,,,,,,5.2,,,,,,,,,,,,,
26,1956-09-30,1956Q3,,,,,,,,4.9,,,,,,,,,,,,,
27,1956-12-31,1956Q4,,,,,,,,5.3,,,,,,,,,,,,,
28,1957-03-31,1957Q1,,,,,,,,6.5,,,,,,,,,,,,,
