Name,Breed,Color,Age,Height (cm),Weight (kg),Size
Chloe,Beagle,Lemon,12,38,9,Medium
Rocky,Dachshund,Dapple,12,22,11,Small
Duke,Great Dane,Fawn,8,76,70,Large
Max,Dachshund,Cream,12,23,8,Small
Oliver,Chihuahua,Chocolate,18,17,1,Small
Duke,Beagle,Tricolor,14,39,9,Medium
Cooper,German Shepherd,Sable,9,64,25,Large
Charlie,Dachshund,Black and Tan,14,25,11,Small
Daisy,French Bulldog,Black,10,28,12,Small
Max,Chihuahua,Red,16,15,1,Small
Chloe,Poodle (Standard),Brown,10,50,29,Medium
Duke,German Shepherd,Black,10,57,34,Medium
Rocky,Great Dane,Blue,7,72,75,Large
Max,Golden Retriever,Light Golden,10,57,26,Medium
Sophie,Rottweiler,Black and Mahogany,8,61,39,Large
Duke,Golden Retriever,Cream,11,56,33,Medium
Buddy,Poodle (Standard),Brown,13,39,29,Medium
Molly,Golden Retriever,Cream,11,60,33,Large
Buddy,Golden Retriever,Cream,10,56,27,Medium
Sadie,Poodle (Standard),Brown,10,54,26,Medium
Jack,Labrador Retriever,Yellow,11,61,30,Large
Duke,Dachshund,Cream,14,22,8,Small
Rocky,Chihuahua,Fawn,18,22,2,Small
Bear,Labrador Retriever,Black,11,58,35,Medium
Max,Great Dane,Blue,9,77,65,Large
Cooper,Chihuahua,Fawn,14,17,2,Small
Lola,Poodle (Standard),Apricot,14,41,30,Medium
Oliver,French Bulldog,Black,10,29,11,Small
Duke,Rottweiler,Black and Mahogany,9,61,40,Large
Jack,German Shepherd,Black and Tan,10,57,32,Medium
Lucy,Great Dane,Blue,7,72,80,Large
Tucker,Rottweiler,Black and Mahogany,8,66,56,Large
Jack,Labrador Retriever,Yellow,10,58,26,Medium
Charlie,Poodle (Standard),Black,14,55,27,Medium
Oliver,Chihuahua,Red,14,21,1,Small
Lola,Dachshund,Cream,14,25,9,Small
Rocky,Great Dane,Fawn,8,75,69,Large
Sophie,Chihuahua,Chocolate,14,16,1,Small
Tucker,Golden Retriever,Light Golden,11,60,33,Large
Sophie,Chihuahua,Fawn,14,16,1,Small
Bella,Chihuahua,White,15,21,2,Small
Rocky,Golden Retriever,Cream,11,59,28,Medium
Tucker,Labrador Retriever,Yellow,10,60,31,Large
Buddy,Golden Retriever,Golden,10,58,33,Medium
Bella,Beagle,Red and White,13,34,9,Small
