1.2.1.1. A fõbb ármutatók, havonta [elõzõ év azonos idõszaka = 100,0%];;;;;;;
Év;Idõszak, hónap;Fogyasztóiár-index;Ipari termelõiár-index;Építõalapanyag-ipari árindex;A külkereskedelmi termékforgalom árindexe Behozatal;A külkereskedelmi termékforgalom árindexe Kivitel;Mezõgazdasági termékek termelõiár-indexe
2020.;január;104,7;103,8;106,2;102,2;103,6;103,6
;február;104,4;103,8;106,6;103,0;104,9;106,1
;március;103,9;104,3;107,0;103,5;106,4;108,0
;április;102,4;103,7;107,4;102,4;106,7;108,8
;május;102,2;101,7;106,6;101,4;104,1;107,0
;június;102,9;103,1;106,1;102,0;104,1;104,5
;július;103,8;103,4;106,3;101,9;103,5;104,5
;augusztus;103,9;103,6;106,3;101,3;103,0;106,6
;szeptember;103,4;105,2;106,9;102,4;104,5;106,6
;október;103,0;105,9;107,5;103,7;105,6;105,8
;november;102,7;105,5;106,8;103,3;104,3;107,2
;december;102,7;106,8;107,4;103,8;105,4;106,7
2021.;január;102,7;106,6;106,3;104,4;105,0;111,0
;február;103,1;108,1;106,0;105,2;105,0;116,7
;március;103,7;109,6;106,6;107,1;105,7;116,1
;április;105,1;109,8;106,2;108,0;104,9;115,5
;május;105,1;111,3;105,7;108,1;105,3;117,4
;június;105,3;111,6;107,9;108,4;105,3;120,5
;július;104,6;114,8;111,4;111,5;108,3;121,3
;augusztus;104,9;114,4;111,9;112,6;109,0;124,1
;szeptember;105,5;114,0;110,8;113,1;107,6;123,6
;október;106,5;118,5;111,3;118,4;110,0;126,1
;november;107,4;121,6;112,6;120,5;112,4;127,2
;december;107,4;122,3;113,1;123,5;114,6;131,0
2022.;január;107,9;122,3;115,4;122,4;113,6;129,7
;február;108,3;122,4;115,5;121,5;113,3;124,9
;március;108,5;125,9;118,6;127,2;116,7;137,4
;április;109,5;128,8;120,6;126,9;118,9;145,7
;május;110,7;132,3;125,8;132,9;124,1;145,4
;június;111,7;135,0;126,4;136,6;128,7;148,3
;július;113,7;137,9;124,7;139,6;128,5;150,7
;augusztus;115,6;143,4;125,5;142,5;129,2;152,9
;szeptember;120,1;142,7;127,3;142,4;129,1;161,0
;október;121,1;141,7;128,0;135,7;128,0;158,9
;november;122,5;137,0;127,1;129,9;122,0;149,7
;december;124,5;134,9;127,1;122,5;119,7;141,4
2023.;január;125,7;133,5;125,9;118,6;118,2;131,6
;február;125,4;129,0;125,7;114,7;115,8;127,0
;március;125,2;121,7;121,4;104,1;109,7;105,1
;április;124,0;115,9;117,7;101,8;105,0;92,8
;május;121,5;111,2;113,1;95,8;100,7;98,9
;június;120,1;106,4;109,7;91,9;96,5;85,4
;július;117,6;101,3;108,4;87,4;94,7;84,0
;augusztus;116,4;97,7;107,5;84,7;94,0;80,6
;szeptember;112,2;97,5;105,7;83,8;93,4;73,3
;október;109,9;93,4;104,0;83,4;91,4;70,8
;november;107,9;93,4;103,3;84,9;92,6;69,8
;december;105,5;92,8;102,5;86,7;92,9;72,7
2024.;január;103,8;93,2;102,5;90,1;93,5;73,8
;február;103,7;95,7;102,8;94,3;96,2;71,3
;március;103,6;97,0;102,0;97,8;98,4;85,3
;április;103,7;98,0;103,4;99,0;100,5;86,7
;május;104,0;99,8;103,1;100,6;100,9;80,3
;június;103,7;102,7;104,6;103,5;104,3;98,9
;július;104,1;102,5;103,6;105,3;103,5;97,3
;augusztus;103,4;103,0;103,8;103,5;102,7;95,1
;szeptember;103,0;100,9;103,4;102,6;102,2;101,9
;október;103,2;102,6;105,1;..;..;..
;november;;;;;;
;december;;;;;;
