"DATE","TIME PERIOD","HICP - Overall index"" (ICP.M.AT.N.000000.4.ANR)","HICP - Overall index"" (ICP.M.BE.N.000000.4.ANR)","HICP - Overall index"" (ICP.M.CY.N.000000.4.ANR)","HICP - Overall index"" (ICP.M.DE.N.000000.4.ANR)","HICP - Overall index"" (ICP.M.EE.N.000000.4.ANR)","HICP - Overall index"" (ICP.M.ES.N.000000.4.ANR)","HICP - Overall index"" (ICP.M.FI.N.000000.4.ANR)","HICP - Overall index"" (ICP.M.FR.N.000000.4.ANR)","HICP - Overall index"" (ICP.M.GR.N.000000.4.ANR)","HICP - Overall index"" (ICP.M.HR.N.000000.4.ANR)","HICP - Overall index"" (ICP.M.IE.N.000000.4.ANR)","HICP - Overall index"" (ICP.M.IT.N.000000.4.ANR)","HICP - Overall index"" (ICP.M.LT.N.000000.4.ANR)","HICP - Overall index"" (ICP.M.LU.N.000000.4.ANR)","HICP - Overall index"" (ICP.M.LV.N.000000.4.ANR)","HICP - Overall index"" (ICP.M.MT.N.000000.4.ANR)","HICP - Overall index"" (ICP.M.NL.N.000000.4.ANR)","HICP - Overall index"" (ICP.M.PT.N.000000.4.ANR)","HICP - Overall index"" (ICP.M.SI.N.000000.4.ANR)","HICP - Overall index"" (ICP.M.SK.N.000000.4.ANR)","HICP - Overall index (ICP.M.U2.N.000000.4.ANR)"
"1996-01-31","1996Jan","","","","0.5","23.4","3.8","","","7.8","","2.3","","31.5","1.0","","","","2.5","8.4","6.4"
"1996-02-29","1996Feb","","","","0.7","24.0","3.6","","","8.1","","2.2","","29.3","0.9","","","","2.5","8.4","6.2"
"1996-03-31","1996Mar","","","","0.8","23.2","3.3","","","8.6","","2.4","","30.5","1.0","","","","2.3","9.6","6.1"
"1996-04-30","1996Apr","","","","0.5","23.9","3.4","","","8.5","","1.9","","30.5","1.2","","","","2.6","11.4","6.0"
"1996-05-31","1996May","","","","0.7","22.3","3.8","","","8.3","","1.9","","28.2","1.2","","","","3.1","10.9","6.2"
"1996-06-30","1996Jun","","","","0.5","21.6","3.6","","","7.9","","2.1","","27.8","1.1","","","","3.4","10.7","6.2"
"1996-07-31","1996Jul","","","","0.7","20.8","3.7","","","8.0","","1.9","","24.7","1.2","","","","3.6","10.8","5.5"
"1996-08-31","1996Aug","","","","0.5","19.2","3.7","","","7.7","","1.9","","24.4","1.3","","","","3.5","10.5","5.5"
"1996-09-30","1996Sep","","","","0.7","17.8","3.6","","","7.7","","2.3","","23.0","1.1","","","","3.3","9.8","5.2"
"1996-10-31","1996Oct","","","","0.8","15.7","3.6","","","7.7","","2.2","","19.8","1.2","","","","2.8","10.3","5.3"
