Timestamp,Amount,Currency,Recipient
2024-04-27 13:59:08.985760,815.85,GBP,Amazon
2024-01-13 13:59:08.985760,373.09,JPY,Starbucks
2025-04-25 13:59:08.985760,548.82,GBP,Uber
2025-01-16 13:59:08.985760,788.2,GBP,
2025-11-12 13:59:08.985760,227.34,JPY,Starbucks
2025-09-20 13:59:08.985760,710.45,,Netflix
2024-06-25 13:59:08.985760,818.63,USD,Netflix
2024-10-26 13:59:08.985760,799.47,CAD,Starbucks
2025-04-25 13:59:08.985760,298.46,EUR,Amazon
2025-04-21 13:59:08.985760,226.99,CAD,Amazon
2024-06-28 13:59:08.985760,80.42,JPY,Amazon
2024-06-27 13:59:08.985760,138.9,GBP,Starbucks
2024-04-01 13:59:08.985760,403.8,GBP,Uber
2025-06-19 13:59:08.985760,298.94,EUR,Uber
2024-11-20 13:59:08.985760,884.62,USD,Netflix
2025-04-28 13:59:08.985760,467.55,USD,Uber
2024-01-23 13:59:08.985760,958.45,GBP,Amazon
2024-11-23 13:59:08.985760,11.49,GBP,Starbucks
2024-05-04 13:59:08.985760,91.03,GBP,Uber
2024-02-22 13:59:08.985760,61.79,GBP,Netflix
2025-05-22 13:59:08.985760,255.11,GBP,Netflix
,363.6,JPY,Spotify
2025-11-03 13:59:08.985760,973.24,EUR,Starbucks
2025-03-31 13:59:08.985760,379.31,USD,Uber
2025-11-06 13:59:08.985760,888.39,USD,Starbucks
2024-04-24 13:59:08.985760,395.47,GBP,Uber
2025-07-28 13:59:08.985760,400.68,USD,Spotify
2024-12-03 13:59:08.985760,457.39,USD,Amazon
2025-11-20 13:59:08.985760,916.56,JPY,Uber
2024-04-25 13:59:08.985760,259.65,USD,Netflix
2024-09-20 13:59:08.985760,840.74,JPY,Netflix
2025-08-21 13:59:08.985760,787.93,JPY,Netflix
2024-01-15 13:59:08.985760,184.45,USD,Amazon
2025-10-07 13:59:08.985760,469.4,JPY,Amazon
2024-02-05 13:59:08.985760,648.09,CAD,Uber
2024-08-31 13:59:08.985760,858.9,JPY,Starbucks
2024-05-31 13:59:08.985760,42.03,USD,Netflix
2024-04-11 13:59:08.985760,395.59,EUR,Spotify
